price,postal_code,rooms,area,state,has_open_fire,property_type,property_subtype,facades_number,is_furnished,has_terrace,has_garden,has_swimming_pool,has_equipped_kitchen,is_luxurious
444900,2170,3,226,4,-1,1,11,-1,-1,-1,-1,2,4,0
265000,2060,6,139,5,-1,1,11,2,0,1,1,2,4,0
299000,2180,5,178,5,-1,1,11,2,0,1,1,2,4,0
329000,2180,3,162,5,-1,1,11,2,0,0,1,2,4,0
319000,2180,3,120,4,-1,1,11,2,0,1,1,2,4,0
620000,2060,8,323,3,-1,1,11,-1,0,0,0,2,4,1
589000,2018,3,140,0,-1,1,11,3,0,1,1,2,0,0
269000,2060,2,106,5,-1,1,11,2,0,0,0,2,4,0
299000,2180,2,110,4,-1,1,11,2,0,1,1,2,4,0
248000,2060,2,134,4,-1,1,11,2,0,0,0,2,4,0
1695000,2000,5,425,3,-1,1,11,-1,-1,-1,-1,2,4,1
299000,2180,3,145,4,-1,1,11,2,0,0,1,2,4,0
314000,2170,2,125,0,-1,1,11,-1,-1,-1,-1,2,4,0
425000,2100,3,200,4,-1,1,11,2,0,1,1,0,3,0
299000,2020,2,155,5,-1,1,11,2,0,1,1,2,4,0
407000,2020,2,135,0,-1,1,11,2,-1,1,1,2,4,0
345000,2020,3,175,5,-1,1,11,2,0,1,1,2,4,0
299000,2060,3,129,3,-1,1,11,2,-1,0,0,2,4,0
315000,2660,3,160,3,-1,1,11,2,-1,0,1,2,4,0
349000,2180,3,139,4,-1,1,11,2,0,1,1,2,4,0
259000,2170,2,88,5,-1,1,11,2,0,1,1,2,4,0
653000,2170,2,130,5,-1,1,11,2,0,1,1,2,4,0
890000,2610,5,275,7,-1,1,14,4,0,1,1,1,2,1
685000,2610,4,315,4,-1,1,11,2,0,1,1,2,4,1
279000,2100,3,138,4,-1,1,11,2,0,0,1,2,4,0
419000,2180,5,189,4,-1,1,11,-1,0,1,1,2,4,0
599000,2060,4,236,4,-1,1,11,2,0,0,1,2,4,0
1350000,2018,5,310,1,-1,2,8,-1,-1,-1,-1,2,4,1
349000,2660,2,102,4,-1,1,11,2,0,1,1,2,4,0
329000,2140,2,115,5,-1,1,11,-1,0,0,0,2,4,0
399000,2610,2,88,4,-1,1,11,2,0,1,1,2,4,0
265000,2060,4,122,4,-1,1,11,2,-1,1,-1,2,4,0
229000,2100,4,131,5,-1,1,11,2,0,0,1,2,4,0
349000,2610,4,158,4,-1,1,11,-1,-1,1,1,2,4,0
309000,2170,3,108,4,-1,1,11,2,0,0,0,2,4,0
239000,2170,2,121,5,-1,1,11,2,0,0,1,2,4,0
550000,2000,6,173,3,-1,1,11,2,-1,0,0,2,4,0
260000,2180,2,137,5,-1,1,11,3,0,1,1,2,4,0
335000,2100,5,195,5,-1,1,11,-1,0,0,1,2,4,0
355000,2060,3,88,4,-1,1,11,2,0,0,1,2,4,0
269000,2100,3,106,5,-1,1,11,2,0,1,0,2,4,0
265000,2610,2,145,5,-1,1,11,-1,-1,1,1,2,4,0
275000,2180,4,162,3,-1,1,11,2,-1,0,1,2,4,0
310000,2660,2,111,3,-1,1,11,-1,-1,-1,-1,2,4,0
299000,2610,2,55,3,-1,1,11,2,0,1,0,2,4,0
490000,2018,3,119,2,-1,1,11,3,0,1,1,2,4,0
490000,2018,3,117,2,-1,1,11,3,0,1,1,2,4,0
334000,2170,3,108,4,-1,1,11,2,0,1,1,2,4,0
419000,2170,3,182,0,-1,1,11,2,-1,1,1,2,4,0
