price,rooms,area,cadastral_income,build_year,postal_code,build_year_missing,cadastral_income_missing,property_type_Apartment,property_type_House,property_type_Other,has_equipped_kitchen_Fully equipped,has_equipped_kitchen_Not equipped,has_equipped_kitchen_Partially equipped,has_equipped_kitchen_nan,garage_1.0,garage_nan,has_garden_0.0,has_garden_1.0,has_garden_nan,has_swimming_pool_0.0,has_swimming_pool_1.0,has_swimming_pool_nan
259000.0,0.14576938915644239,-0.023886263791877277,0.005484198543107574,-0.9558538870577026,-1.149158734497104,0,0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0
299000.0,-0.39181598048100186,-0.022814482133698955,-0.019475014144220176,0.3384855813779186,-1.1232252113643175,1,1,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
235000.0,-0.929401350118446,-0.04032024921727823,-0.07182002964125477,-0.6322690199487973,-1.1795380044526536,0,0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
439000.0,-0.39181598048100186,-0.028887911530042786,-0.019475014144220176,0.3115201757855099,-1.1862066246867986,0,1,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0
289000.0,-0.39181598048100186,-0.014597489420998474,0.24398334199979496,-0.6322690199487973,-0.9639192835486301,0,0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0
309000.0,0.14576938915644239,-0.01674105273735512,-0.019475014144220176,0.3384855813779186,-1.1232252113643175,1,1,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
289000.0,0.14576938915644239,-0.022457221580972846,-0.019475014144220176,-1.9266084883844186,-1.134339578421226,0,1,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0
575000.0,0.6833547587938866,0.011125270375281287,-0.019475014144220176,-0.4704765863943446,-1.1795380044526536,0,1,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0
225000.0,-0.929401350118446,-0.0388912070063738,-0.035594505671452684,0.5002780149323713,-1.134339578421226,0,0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
395000.0,-0.39181598048100186,-0.022814482133698955,-0.019475014144220176,0.3384855813779186,-1.1862066246867986,1,1,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0
349000.0,-0.39181598048100186,-0.017455573842807336,-0.019475014144220176,-0.7670960479108412,-0.9639192835486301,0,1,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0
