price,rooms,area,state,facades_number,is_furnished,has_terrace,has_garden,has_swimming_pool,has_equipped_kitchen,build_year,cellar,garage,kitchen_type,kitchen_surface,bathrooms,low_energy,solar_panels,heating_type,heat_pump,air_conditioning,alarm,garden_surface,terrace_surface,land_surface,sewer_connection,running_water,rain_water_tank,primary_energy_consumption,co2,certification_electrical_installation,planning_permission_granted,preemption_right,flooding_area_type,surroundings_protected,availability,leased,living_room_surface,attic,glazing_type,elevator,entry_phone,security_door,access_disabled,apartement_floor,number_floors,toilets,frontage_width,terrain_width_roadside,g_score,p_score,cadastral_income,property_subtype,postal_code,property_type
309000,4,117,0,2,1,2,1,0,1,-1,0,1,3,-1,1,0,0,3,0,0,0,-1,-1,-1,0,2,0,143,-1,1,0,0,3,0,92,1,-1,0,1,1,0,0,0,3,0,1,17,-1,2,2,-1,0,117,0
289000,4,101,3,0,0,1,1,0,1,1927,0,0,3,-1,1,0,0,3,0,1,1,-1,-1,-1,0,0,0,181,-1,1,0,1,3,1,94,1,-1,0,0,1,0,0,1,3,3,1,-1,-1,2,2,-1,0,114,0
575000,5,195,3,0,0,2,1,0,1,1981,0,0,3,-1,2,0,0,5,0,0,1,-1,10,-1,0,0,0,126,-1,1,0,1,3,1,91,1,-1,0,1,2,0,0,1,3,8,0,-1,-1,2,2,-1,0,106,0
225000,2,55,4,2,1,2,1,0,1,2017,0,1,3,-1,1,0,0,3,0,0,0,-1,-1,-1,0,0,0,48,-1,2,0,0,0,0,94,1,-1,0,1,1,0,0,0,4,10,1,-1,-1,2,2,707,0,114,0
395000,3,100,3,0,0,2,1,0,1,-1,0,0,3,-1,1,0,0,6,0,1,1,-1,15,-1,0,0,0,234,-1,1,0,0,3,1,93,1,-1,0,0,1,0,0,1,1,4,1,-1,-1,2,2,-1,0,105,0
349000,3,115,3,0,0,2,1,0,1,1970,0,0,3,-1,0,0,0,2,0,1,1,-1,-1,-1,0,0,0,-1,-1,1,0,0,3,1,94,1,-1,0,0,1,0,0,1,0,0,0,-1,-1,2,2,-1,0,157,0
375000,3,107,4,0,1,2,1,0,1,2021,1,0,3,-1,1,0,0,6,0,0,0,-1,30,-1,0,0,0,-1,-1,1,2,1,3,1,93,0,-1,1,1,2,0,0,1,2,0,0,-1,-1,1,1,1115,0,110,0
199900,3,60,4,0,1,2,1,0,1,1957,0,0,3,-1,1,0,0,3,0,0,0,-1,3,-1,0,0,0,292,-1,2,0,0,0,0,94,1,28,0,1,1,0,0,0,3,2,1,-1,-1,2,2,-1,0,113,0
1145500,4,160,0,0,0,2,0,0,1,-1,0,0,3,-1,0,2,0,6,0,0,0,-1,50,-1,0,0,0,-1,-1,1,0,0,0,0,91,0,-1,0,1,2,0,0,0,0,0,0,-1,-1,2,2,-1,18,105,0
595000,5,175,7,2,1,1,1,0,3,-1,0,0,1,-1,1,0,0,3,0,0,0,-1,-1,-1,0,2,0,615,22,2,1,1,0,0,93,1,-1,0,0,2,0,0,0,2,3,2,8,8,2,2,-1,22,105,0
199900,3,60,4,0,1,2,1,0,1,1957,0,0,3,-1,1,0,0,3,0,0,0,-1,3,-1,0,0,0,292,-1,2,0,0,0,0,94,1,28,0,1,1,0,0,0,3,2,1,-1,-1,2,2,-1,0,113,0
199000,2,56,3,0,0,1,1,0,1,1919,0,0,3,-1,0,0,0,3,0,1,1,-1,-1,-1,0,0,0,343,-1,1,0,1,3,1,93,1,-1,0,0,1,0,0,1,5,4,0,-1,-1,2,2,-1,0,105,0
159000,2,70,4,0,1,2,1,0,1,-1,0,0,3,-1,0,0,0,6,0,0,0,-1,10,-1,0,0,0,147,-1,1,0,0,0,0,93,1,28,0,1,2,0,0,0,8,15,1,-1,-1,2,2,-1,0,114,0
209000,2,75,4,2,1,2,1,0,1,-1,0,1,3,-1,0,0,0,5,0,0,0,-1,18,-1,0,0,0,197,-1,2,0,1,3,0,91,1,-1,0,1,2,0,0,0,5,0,0,-1,-1,2,2,800,0,163,0
264500,3,86,0,2,1,2,1,0,1,2021,0,1,3,-1,1,0,0,5,0,0,0,-1,-1,-1,0,0,0,66,-1,2,0,1,3,0,94,1,-1,0,1,2,0,0,0,6,0,0,80,-1,2,2,-1,0,163,0
225000,3,96,4,0,1,2,1,0,1,1966,0,0,3,-1,1,0,0,3,0,0,0,-1,3,-1,0,0,0,192,-1,1,0,0,0,0,94,1,33,0,1,1,0,0,0,3,2,1,-1,-1,2,2,664,0,113,0
249000,3,70,4,2,1,2,1,0,1,1978,0,1,3,-1,1,0,0,3,0,0,0,-1,-1,-1,0,2,0,150,-1,1,0,1,3,0,94,1,-1,0,1,1,0,0,0,5,7,1,-1,-1,2,2,1048,0,157,0
239000,3,108,5,2,1,2,1,0,1,1970,0,1,3,-1,1,0,0,5,0,0,0,-1,-1,-1,0,0,0,279,-1,0,0,0,3,0,92,1,-1,0,1,1,0,0,0,2,0,0,-1,-1,2,2,1006,0,158,0
245000,2,61,4,0,1,1,1,0,4,-1,0,0,3,-1,1,0,0,4,2,2,0,-1,-1,-1,0,2,0,175,-1,2,0,0,3,0,93,0,-1,0,0,1,2,0,2,2,3,0,-1,-1,2,2,-1,0,105,0
359000,3,70,3,0,0,2,1,0,1,2016,0,0,3,-1,1,0,0,3,0,1,1,-1,6,-1,0,0,0,100,-1,1,0,0,3,1,22,1,-1,0,0,2,0,0,1,4,0,1,-1,-1,2,2,-1,0,105,0
274900,3,80,4,0,1,1,2,0,1,1949,0,1,3,-1,1,0,2,3,0,0,0,45,-1,-1,0,0,0,103,-1,2,0,0,0,0,18,1,-1,0,1,1,0,0,0,0,3,1,-1,-1,2,2,597,9,113,0
215000,3,107,3,0,0,2,1,0,1,1974,0,1,3,-1,1,0,0,6,0,1,1,-1,18,-1,0,0,0,0,-1,1,0,1,3,1,94,1,-1,0,0,2,0,0,1,6,0,1,8,9,2,2,-1,0,114,0
219000,3,64,4,2,1,2,1,0,1,1965,0,0,3,-1,1,0,0,3,0,0,0,-1,2,-1,0,2,0,345,-1,2,0,2,3,0,94,1,-1,0,1,1,0,0,0,6,5,1,-1,-1,2,2,629,0,111,0
325000,3,105,3,0,1,2,1,0,1,1960,0,0,3,-1,1,0,0,3,0,0,0,-1,3,-1,0,2,0,121,-1,2,0,1,3,0,93,1,25,0,1,1,0,0,0,4,0,1,-1,-1,2,2,669,0,110,0
519000,3,125,3,0,0,2,1,0,1,1961,0,0,3,-1,2,0,0,6,0,2,1,-1,20,-1,0,0,0,0,-1,1,0,1,3,1,91,1,-1,0,0,2,0,0,1,0,0,1,-1,-1,2,2,-1,0,157,0
310000,2,55,4,2,1,2,1,0,1,-1,0,0,3,-1,1,0,0,3,0,0,0,-1,3,-1,0,2,0,107,-1,2,0,1,3,0,41,1,-1,0,1,1,0,0,0,2,2,1,-1,-1,2,2,-1,0,106,0
299000,2,66,4,2,1,2,1,0,1,1946,0,0,3,-1,1,0,0,3,0,0,0,-1,12,-1,0,2,0,185,-1,2,0,1,3,0,92,1,-1,0,1,1,0,0,0,0,4,0,9,-1,2,2,951,0,105,0
275000,3,85,5,2,1,2,1,0,1,-1,0,0,3,-1,1,0,0,3,0,0,0,-1,2,-1,0,0,0,209,-1,0,0,1,3,0,94,1,-1,0,1,1,0,0,0,3,2,0,-1,-1,2,2,-1,0,105,0
239000,3,106,4,2,1,2,1,0,1,1992,0,1,3,-1,1,0,0,3,0,0,0,-1,-1,-1,0,2,0,120,-1,0,0,2,2,0,94,1,-1,0,1,1,0,0,0,3,4,0,-1,-1,2,2,1212,0,111,0
144000,2,32,4,2,1,2,1,0,1,1965,0,0,3,-1,1,0,0,3,0,0,0,-1,2,-1,0,2,0,309,-1,2,0,1,3,0,92,1,-1,0,1,2,0,0,0,2,4,1,-1,-1,2,2,632,21,106,0
265000,4,120,3,0,0,2,1,0,1,1988,0,1,3,-1,1,0,0,3,0,1,1,-1,15,-1,0,0,0,-1,-1,1,0,1,3,1,94,1,-1,0,0,2,0,0,1,4,8,2,-1,-1,2,2,-1,0,113,0
274000,2,83,3,0,0,2,1,0,1,-1,0,0,3,-1,0,0,2,6,0,1,1,-1,-1,-1,0,0,0,183,-1,1,0,1,3,1,94,1,-1,0,1,1,0,0,1,4,0,0,-1,-1,2,2,-1,0,105,0
359000,3,74,2,0,2,2,1,0,1,2018,0,0,3,-1,1,0,0,6,0,0,0,-1,17,-1,0,0,0,67,-1,2,0,0,0,0,93,1,35,0,1,2,0,0,0,5,0,1,-1,-1,2,2,-1,0,110,0
176000,2,65,4,2,1,2,1,0,1,1967,0,0,3,-1,1,0,0,2,0,0,0,-1,3,-1,0,2,0,160,-1,1,0,1,3,0,91,1,-1,0,1,2,0,0,0,9,17,1,47,-1,2,2,-1,0,158,0
425000,4,143,3,2,1,2,1,0,1,-1,0,1,3,-1,1,0,0,3,0,0,0,-1,6,-1,0,0,0,155,-1,0,0,0,0,0,94,1,-1,0,1,2,0,0,0,4,3,2,-1,-1,2,2,-1,0,157,0
460000,3,98,3,0,0,2,1,0,1,-1,0,0,3,-1,1,0,0,3,0,1,1,-1,5,-1,0,0,0,88,-1,1,0,0,3,1,93,1,-1,0,0,1,0,0,1,4,5,0,-1,-1,2,2,-1,0,105,0
275000,3,105,0,2,1,2,1,0,1,1966,0,0,3,-1,1,0,0,1,0,0,0,-1,10,-1,0,2,0,278,-1,2,0,2,2,0,91,1,-1,0,1,2,0,0,0,3,16,1,16,-1,2,2,-1,0,110,0
265000,2,91,0,2,1,1,2,0,1,2016,0,1,3,-1,1,0,0,5,0,0,0,-1,-1,-1,0,0,0,125,-1,0,0,1,3,0,91,1,-1,0,1,2,0,0,0,0,0,1,-1,-1,2,2,-1,0,163,0
189000,3,94,4,2,1,1,1,0,1,1967,0,1,3,-1,1,0,0,3,0,0,0,-1,-1,-1,0,2,0,160,-1,0,0,1,2,0,91,1,31,0,1,2,0,0,0,3,4,1,-1,-1,2,2,907,0,113,0
154000,3,70,4,3,1,2,1,0,1,1967,0,1,3,-1,1,0,0,3,0,0,0,-1,4,-1,0,0,0,207,-1,0,0,1,2,0,94,1,30,0,1,2,0,0,0,3,0,1,-1,-1,2,2,711,0,113,0
239000,2,66,4,2,1,2,1,0,1,1968,0,0,3,-1,1,0,0,3,0,0,0,-1,2,-1,0,2,0,399,-1,2,0,1,3,0,94,1,-1,0,1,1,0,0,0,2,0,1,-1,-1,2,2,-1,0,106,0
220000,4,105,3,0,0,2,1,0,1,1969,0,1,3,-1,0,0,0,5,0,0,1,-1,-1,-1,0,0,0,284,-1,1,0,0,3,1,94,1,-1,0,1,1,0,0,1,2,0,0,-1,-1,2,2,-1,0,110,0
265000,4,108,5,2,1,2,1,0,1,1980,0,1,3,-1,1,0,0,3,0,0,0,-1,-1,-1,0,2,0,135,-1,2,0,1,3,0,94,1,-1,0,1,2,0,0,0,3,3,1,-1,-1,2,2,1306,0,113,0
209000,3,105,4,2,1,2,1,0,1,2012,0,0,3,-1,1,0,0,3,0,0,0,-1,-1,-1,0,2,0,126,-1,0,0,1,2,0,91,1,-1,0,1,2,0,0,0,5,0,1,-1,-1,2,2,-1,0,114,0
595000,3,110,3,0,0,2,1,0,1,2021,0,0,3,-1,0,0,0,6,0,1,1,-1,14,-1,0,0,0,49,-1,1,0,1,3,1,94,1,-1,0,0,2,0,0,2,2,0,0,-1,-1,2,2,-1,0,105,0
235000,4,96,3,0,0,2,1,0,1,1969,0,0,3,-1,1,0,0,3,0,1,1,-1,5,-1,0,0,0,-1,-1,1,0,2,3,1,94,1,-1,0,1,2,0,0,1,4,0,0,-1,-1,2,2,-1,0,111,0
